event_type,n,momentum_rate,avg_range,avg_volume,avg_dist_midnight,reversal_rate,edge,direction
US Unemployment Claims,545,0.5229357798165137,0.13306577914064538,764.1321100917431,0.0334137988792858,0.47706422018348627,2.2935779816513735,MOMENTUM
US Core Durable Goods Orders m/m,111,0.4774774774774775,0.11153086127064454,474.85585585585585,0.1583363050859468,0.5225225225225225,2.2522522522522515,REVERSAL
US Empire State Manufacturing Index,23,0.4782608695652174,0.23469651472707673,1999.7826086956522,-0.05562823945094669,0.5217391304347826,2.1739130434782594,REVERSAL
US Retail Sales m/m,186,0.521505376344086,0.17390308723404094,1012.3333333333334,0.01844771424804155,0.478494623655914,2.1505376344086002,MOMENTUM
US ADP Non-Farm Employment Change,168,0.5178571428571429,0.10579763203614549,670.797619047619,0.060689752764261654,0.4821428571428571,1.7857142857142905,MOMENTUM
US Philly Fed Manufacturing Index,89,0.5168539325842697,0.16400286247337018,1912.9662921348315,-0.001558901434505398,0.4831460674157303,1.6853932584269704,MOMENTUM
US ISM Manufacturing PMI,184,0.5163043478260869,0.22291833450703843,2944.0054347826085,0.036130827776943084,0.4836956521739131,1.6304347826086918,MOMENTUM
US Flash Services PMI,45,0.4888888888888889,0.21400624319397005,3354.4222222222224,0.03297144636556338,0.5111111111111111,1.1111111111111127,REVERSAL
US JOLTS Job Openings,55,0.509090909090909,0.25636970700323775,3860.981818181818,0.05576761583835801,0.49090909090909096,0.9090909090909038,MOMENTUM
US FOMC Meeting Minutes,116,0.49137931034482757,0.1587803874162501,1456.6724137931035,0.24698513167628786,0.5086206896551724,0.8620689655172431,REVERSAL
US Average Hourly Earnings m/m,120,0.5083333333333333,0.4299692398110357,2656.3166666666666,-0.03173705551503093,0.4916666666666667,0.8333333333333304,MOMENTUM
US Personal Spending m/m,2,0.5,0.05612782207807883,376.0,0.4500644508210728,0.5,0.0,REVERSAL
